Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value(not meaningful since it is tested vs 0),Signif(not meaningful since it is tested vs 0)
fedel_1740,2.174152352953428,0.09494925375125968,1.9891854993351505,2.3668608639407234,4.859234305474702e-116,***
fedel_1750,2.1525779735931323,0.07285062227369885,2.0065207748944363,2.2920651995744277,7.001999037574472e-192,***
fedel_1760,2.1310035942328365,0.06854041409077886,1.9957560555072773,2.2632337761518557,3.1676540810906595e-212,***
fedel_1770,2.10942921487254,0.08477668536886762,1.9446478731754215,2.2632015874246427,1.1600253169826483e-136,***
fedel_1780,2.0878548355122444,0.11302701987071385,1.8612603783935409,2.2971758202368826,3.458673487617351e-76,***
fedel_1790,2.0662804561519486,0.14649863780903824,1.7757594677870445,2.3417018901069557,3.566361025545816e-45,***
fedel_1800,2.0447060767916523,0.18233846922489788,1.6740029267621908,2.382034551701789,3.489089802499842e-29,***
fid_1730,2.3078829634414078,0.12919398246438032,2.0812416211047466,2.597882989429526,2.261261998816352e-71,***
fid_1740,2.2609202791135488,0.09938839954575396,2.0793220222585544,2.4828999654963306,1.4906271014348363e-114,***
fid_1750,2.2139575947856915,0.07702217900055174,2.073054479508797,2.3792569833487716,1.0636640767438286e-181,***
fid_1760,2.1669949104578325,0.06967188375655162,2.0331167922931686,2.295385531411893,2.2032616341585278e-212,***
fid_1770,2.1200322261299736,0.08150656383903468,1.9552269128905533,2.264905965315515,3.760389639223773e-149,***
fid_1780,2.0730695418021163,0.10630080783311871,1.8580650037874087,2.261995381310199,1.0574350062049013e-84,***
fid_1790,2.0261068574742573,0.1371998424837558,1.752559797842174,2.262686180657982,2.371451785497632e-49,***
fid_1800,1.9791441731464001,0.17092432548829314,1.6395199420766158,2.275644173813268,5.2615728394510074e-31,***
fug_1730,2.7700788498127373,0.13479995133325437,2.531199016125537,3.0461379035680096,7.767385449971986e-94,***
fug_1740,2.704890798789787,0.09889202348086128,2.5477757566619568,2.91822802500317,1.0234200892233085e-164,***
fug_1750,2.6397027477668367,0.07299473776650875,2.5244207953340445,2.8060272888826145,2.331269700463914e-286,***
fug_1760,2.5745146967438846,0.06940335135880871,2.4650052087260046,2.735608763142539,3.3872010366405643e-301,***
fug_1770,2.5093266457209342,0.09080425443137473,2.365725644351195,2.7261989885406988,4.290540026131471e-168,***
fug_1780,2.444138594697984,0.1249559685273661,2.2352758780386712,2.7263333385083635,3.390852973874204e-85,***
fug_1790,2.3789505436750336,0.1640809846483043,2.098456627440694,2.732636750913037,1.2358045409323755e-47,***
fug_1800,2.3137624926520814,0.20535612720460228,1.9530543758540841,2.7608266853985293,1.9080770873965014e-29,***
guerr_1730,2.4076481337681592,0.16580509899871423,2.0937591889095115,2.735038235412938,8.925992183102553e-48,***
guerr_1740,2.374447044975275,0.13120263530522405,2.1255847667048884,2.644979789725516,3.3312444977402575e-73,***
